"character" "dialogue"
"49" "None" "Doctor Strange, Master of the Mystic Arts, proceeds down the main steps of the Sanctum with Wong."
"50" "Stephen Strange" "Seriously? You don't have any money?"
"51" "Wong" "Attachment to the material is detachment from the spiritual."
"52" "Stephen Strange" "I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye."
"53" "Wong" "Oh, wait, wait, wait, I think I have 200."
"54" "Stephen Strange" "Dollars?"
"55" "Wong" "Rupees."
"56" "Stephen Strange" "Which is?"
"57" "Wong" "Uh, buck and a half."
"58" "Stephen Strange" "What do you want?"
"59" "Wong" "I wouldn't say no to a tuna melt."
"60" "None" "Bruce crash-lands through the Sanctum stairs. The Cloak of Levitation swirls around Strange's shoulders immediately."
"61" "Bruce Banner" "Thanos is coming. He's coming..."
"62" "Stephen Strange" "Who?"
"63" "None" "Title Screen: Avengers: Infinity War"
"64" "None" "Public Park, New York City, day. Tony Stark and Pepper Potts walk on having a conversation."
"65" "Tony Stark" "Slow down, slow down. I'm totally not kidding."
"66" "Pepper Potts" "You're totally rambling."
"67" "Tony Stark" "No, I'm not."
"68" "Pepper Potts" "Lost me."
"69" "Tony Stark" "Look, you know how you're having a dream, and in the dream you gotta pee?"
"70" "Pepper Potts" "Yeah."
"71" "Tony Stark" "Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'"
"72" "Pepper Potts" "Right. And then you wake up, and in real life you actually have to pee."
"73" "Tony Stark" "Yes."
"74" "Pepper Potts" "Yeah. Everybody has that."
"75" "Tony Stark" "Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?"
"76" "Pepper Potts" "Right."
"77" "Tony Stark" "Morgan! Morgan."
"78" "Pepper Potts" "So you woke up, and thought that we were..."
"79" "Tony Stark" "Expecting."
"80" "Pepper Potts" "Yeah."
"81" "Tony Stark" "Yes?"
"82" "Pepper Potts" "No."
"83" "Tony Stark" "I had a dream about it. It was so real."
"84" "Pepper Potts" "If you wanted to have a kid, you wouldn't have done that."
"85" "None" "Pepper unties his jacket sleeves and taps Tony's chest attachment."
"86" "Tony Stark" "I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles."
"87" "Pepper Potts" "It's not helping your case, OK?"
"88" "Tony Stark" "No, no, it's an attachment, it's not a-"
"89" "Pepper Potts" "You don't need that."
"90" "Tony Stark" "I know. I had the surgery. I'm just trying to protect us. The future uses, and that's it. Just in case there's a monster in the closet, instead of, you know..."
"91" "Pepper Potts" "Shirts?"
"92" "Tony Stark" "You know me so well. You finish all my sentences."
"93" "Pepper Potts" "You should have shirts in your closet."
"94" "Tony Stark" "Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you."
"95" "Pepper Potts" "Yes."
"96" "Tony Stark" "I will."
"97" "None" "Tony kisses Pepper."
"98" "None" "Doctor Strange comes through a portal."
"99" "Stephen Strange" "Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way."
"100" "None" "Tony and Pepper are understandably shocked."
"101" "Tony Stark" "I'm sorry, you giving out tickets or something?"
"102" "Stephen Strange" "We need your help. Look, it's not overselling to say that the fate of the universe is at stake."
"103" "Tony Stark" "And who's we?"
"104" "Bruce Banner" "Hey, Tony."
"105" "Tony Stark" "Bruce."
"106" "Bruce Banner" "Pepper."
"107" "Pepper Potts" "Hi."
"108" "Tony Stark" "You okay?"
"109" "None" "Bruce gives Tony a desperate hug, not answering. After everything he has been through, we understand."
"110" "None" "Back at the Sanctum Sanctorum."
"111" "Wong" "From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence."
"112" "Stephen Strange" "Space. Reality. Power. Soul. Mind. And Time."
"113" "None" "Dr. Strange opens the Eye of Agamotto, revealing the Time Stone emitting emerald light."
"114" "Tony Stark" "Tell me his name again."
"115" "Bruce Banner" "Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him."
"116" "Tony Stark" "This is it... What's our timeline?"
"117" "Bruce Banner" "No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony..."
"118" "Stephen Strange" "He can destroy life on a scale hitherto undreamt of."
"119" "Tony Stark" "Did you seriously just say hitherto undreamt of?"
"120" "Stephen Strange" "Are you seriously leaning on the Cauldron of the Cosmos?"
"121" "Tony Stark" "Is that what this is.... ?"
"122" "None" "The Cloak of Levitation smacks Tony's arm, surprising him."
"123" "Tony Stark" "I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?"
"124" "Stephen Strange" "No can do."
"125" "Wong" "We swore an oath to protect the Time Stone. With our lives."
"126" "Tony Stark" "And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so...."
"127" "Stephen Strange" "Stark Raving Hazelnuts."
"128" "Tony Stark" "It's not bad."
"129" "Stephen Strange" "A bit chalky."
"130" "Wong" "A Hunka-Hulka Burning Fudge is our favorite."
"131" "Bruce Banner" "That's a thing?"
"132" "Tony Stark" "Whatever. Point is: things change."
"133" "Stephen Strange" "Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos."
"134" "Tony Stark" "And still conversely, it may also be his best chance against us."
"135" "Stephen Strange" "Well, if we don't do our jobs."
"136" "Tony Stark" "What is your job exactly, besides making balloon animals?"
"137" "Stephen Strange" "Protecting your reality, douchebag."
"138" "None" "You seriously can't tell who's sarcasm is better."
"139" "Bruce Banner" "Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now."
"140" "Tony Stark" "Yeah, that's the... thing."
"141" "Bruce Banner" "What do you mean?"
"142" "Tony Stark" "Two weeks ago, Vision turned off his transponder. He's offline."
"143" "Bruce Banner" "What? Tony, you lost another super bot?"
"144" "Tony Stark" "I didn't lose him. He's more than that. He's evolving."
"145" "Stephen Strange" "Who could find Vision, then?"
"146" "Tony Stark" "Shit.  Probably Steve Rogers."
"147" "Stephen Strange" "Oh, great."
"148" "Tony Stark" "Maybe. But..."
"149" "Bruce Banner" "Call him."
"150" "Tony Stark" "It's not that easy. God, we haven't caught up in a spell, have we?"
"151" "Bruce Banner" "No."
"152" "Tony Stark" "The Avengers broke up. We're toast."
"153" "Bruce Banner" "Broke up? Like a band? Like The Beatles?"
"154" "Tony Stark" "Cap and I fell out hard. We're not on speaking terms."
"155" "Bruce Banner" "Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not."
"156" "None" "Tony hesitates, before pulling out the cellular phone Steve mailed him, muttering 'flip phone'. It seems as though he brings it everywhere, always ready to call his lost friend. Before clicking Call, he pauses, distracted by an unusual rumbling."
"157" "Tony Stark" "Say, Doc, you wouldn't happen to be moving your hair, would you?"
"158" "Stephen Strange" "Not at the moment, no."
"159" "None" "Tony looks at the Hulk-made opening through the ceiling and sees debris flying by outside. He exits the Sanctum through the front door and scans the chaotic surroundings, the camera shaking around in this following long take to illustrate the chaos -- people running and screaming in alarm, traffic becoming impossibly tangled, a litter-filled wind like a nor'easter's. A woman falls nearly at his feet and he helps her up."
"160" "Tony Stark" "You okay?"
"161" "None" "The woman ignores him and runs away. A car crashes in on a pole behind Tony."
"162" "Tony Stark" "Help him! Wong, Doc."
"163" "Bruce Banner" "Go! Got it!"
"164" "Tony Stark" "F.R.I.D.A.Y., what am I looking at?"
"165" "F.R.I.D.A.Y." "Not sure, I'm working on it."
"166" "Tony Stark" "Hey! You might wanna put that Time Stone in your back pocket, Doc!"
"167" "Stephen Strange" "Might wanna use it."
"168" "None" "A mechanical hum grows louder as Tony approaches the intersection. As he turns the corner, he sees a huge circular ship floating over Bleecker Street."
"169" "None" "On a school bus, the hairs on Peter Parker's arms stand up. He looks out the window and sees the ship."
"170" "Peter Parker" "Ned, hey. I need you to cause a distraction."
"171" "Ned Leeds" "Holy shit! We're all gonna die! There's a spaceship!"
"172" "None" "Students scramble to the windows in the back to see the spaceship."
"173" "None" "Peter quickly slides on one of his Stark-made webshooters, and webs the emergency exit lever on the opposite side of the bus."
"174" "School Bus Driver, Stan Lee" "What's the matter with you kids? You've never seen a spaceship before?"
"175" "None" "Peter jumps out the window, clinging to the side of the bus and pulling on his mask before leaping over the side of the bridge, shooting a web-line and swinging free. He makes his way hastily towards the ship."
"176" "Tony Stark" "F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders."
"177" "F.R.I.D.A.Y." "Will do."
"178" "None" "Doctor Strange throws the Winds of Watoomb over Bleeker Street, and winks at Tony. The dust clears. Tony is begrudgingly amused for a split second."
"179" "None" "Then Ebony Maw and Cull Obsidian exit the ship by transmat."
"180" "Ebony Maw" "Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to-"
"181" "Tony Stark" "I'm sorry, Earth is closed today! You better pack it up and get outta here."
"182" "Ebony Maw" "Stonekeeper...  Does this chattering animal speak for you?"
"183" "Stephen Strange" "Certainly not. I speak for myself.  But you’re trespassing in this city and on this planet."
"184" "Tony Stark" "It means get lost, Squidward!"
"185" "Ebony Maw" "He exhausts me."
"186" "Cull Obsidian" ""
"187" "Ebony Maw" "Bring me the Stone."
"188" "Cull Obsidian" ""
"189" "Tony Stark" "Banner, you want a piece?"
"190" "Bruce Banner" "No, not really, but when do I ever get what I want?"
"191" "Tony Stark" "That's right."
"192" "None" "Bruce attempts to release the Hulk. Instead of Hulk coming out easily, the most that turns green is Bruce's neck."
"193" "Tony Stark" "Been a while. Good to have you, buddy."
"194" "Bruce Banner" "I just... I need to concentrate here for one second. Come on, come on, man."
"195" "Tony Stark" "Where's your guy?"
"196" "Bruce Banner" "I don't know. We've sorta been havin' a thing."
"197" "Tony Stark" "There's no time for a thing."
"198" "Bruce Banner" "I know."
"199" "Tony Stark" "That's the thing right there. Let's go."
"200" "None" "Bruce gives out a loud grunt, but fails to release the Hulk. Doctor Strange stares at Tony and Bruce in disbelief."
"201" "Tony Stark" "Dude, you're embarrassing me in front of the wizards."
"202" "Bruce Banner" "Tony, I'm sorry.  Either I can't or he won't--"
"203" "Tony Stark" "It's okay. Hey, stand down.  Keep an eye on him. Thank you."
"204" "Wong" "I have him."
"205" "Bruce Banner" "Damn it."
"206" "None" "As Cull Obsidian approaches the team, Tony dons his nanotech Iron Man suit in the space of three steps. He grows a shield on one arm to protect himself, then grows a set of blasters that easily throw the Dwarf back to Maw, who gestures and deflects his massive companion into some cars."
"207" "Bruce Banner" "Where'd that come from?"
"208" "Tony Stark" "It's nano-tech. You like it? A little someth--"
"209" "None" "Ebony Maw creates a spike of earth that throws Iron Man far up, and attacks the rest of the team with uprooted trees and other debris. Wong summons the Shield of the Seraphim."
"210" "Stephen Strange" "Dr. Banner, if the rest of your green friend won't be joining us...."
"211" "None" "Doctor Strange teleports Bruce to a nearby park along with half a taxi. Iron Man returns and joins the fight, pushing a car thrown by Maw back at him. Maw cuts it in half and lets the pieces fly past him, untouched."
"212" "Tony Stark" "Gotta get that stone outta here, now."
"213" "Stephen Strange" "It stays with me."
"214" "Tony Stark" "Exactly. Bye."
"215" "None" "Iron Man flies through Ebony Maw's obstacle course but is cut short by Cull Obsidian's hammer, sending him through a building and into the park at high speed, plowing into the ground and fetching up against a tree."
"216" "Bruce Banner" "Tony, you okay? How we doing? Good? Bad?"
"217" "Tony Stark" "Really, really good. Really good. Do you plan on helping out?"
"218" "Bruce Banner" "I'm trying. He won't come out."
"219" "None" "Cull Obsidian arrives at the park and throws his hammer at Bruce and Iron Man."
"220" "Tony Stark" "Hammer."
"221" "None" "Iron Man's energy beam deflects off Cull Obsidian's shield, slicing down trees. Bruce barely evades one."
"222" "Bruce Banner" "Come on, Hulk. What are you doing to me?  Come out! Come out! Come out!"
"223" "Hulk" "Nooooooo!"
"224" "None" "Bruce falls back exhausted into his tree."
"225" "Bruce Banner" "What do you mean, no?!"
"226" "None" "Iron Man is knocked down by Obsidian, who is about to deliver a decisive blow, but the alien's hammer is easily caught by Spider-Man."
"227" "Peter Parker" "Hey, man. What's up, Mr. Stark?"
"228" "Tony Stark" "Kid, where'd you come from?"
"229" "Peter Parker" "Field trip to MoMA."
"230" "None" "Cull Obsidian grabs Spider-Man and throws him away."
"231" "Peter Parker" "What is this guy's problem, Mr. Stark?"
"232" "Tony Stark" "He's from space. He came here to steal a necklace from a wizard."
"233" "None" "Wong and Doctor Strange fight Maw. Maw lifts several bricks from the ground and turns them into sharp points. He sends them towards Wong and Doctor Strange. The two make portals and boomerang them back towards Maw. Maw moves a car to protect himself, but one spike still hits his head, creating a cut. Angered, Maw uses a broken fire hydrant's water stream to knock Wong back several meters, rendering him unconscious."
"234" "None" "Doctor Strange snaps a whip of magical energy to bind Maw's hands and yanks, but Maw flies forward with the pull and pins Doctor Strange upside-down against a building, using the bricks to trap the Sorcerer Supreme."
"235" "Ebony Maw" "Your powers are quaint. You must be popular with children."
"236" "None" "Maw tries to grab the amulet holding the Time Stone but jerks back when it burns his hand."
"237" "Stephen Strange" "It's a simple spell but quite unbreakable."
"238" "Ebony Maw" "Then I'll take it off your corpse."
"239" "None" "Maw pulls Doctor Strange away from the building and throws him to the ground. Doctor Strange starts the gestures to use the Eye of Agamotto, but utility cables first pin Doctor Strange's arms, interrupting the spell and closing the Eye, while another cable winds around his torso, then tightens around his throat."
"240" "Stephen Strange" "You'll find... removing a dead man's spell... troublesome."
"241" "Ebony Maw" "You'll only wish you were dead.  NO!"
"242" "Tony Stark" "Kid, that's the wizard. Get on it."
"243" "Peter Parker" "On it!"
"244" "None" "Spider-Man chases Ebony Maw, floating speedily and upright on a small platform of burbling debris leaving a deep rut in the streets, who in turn chases the Cloak-driven Doctor Strange through Manhattan; Maw attacks him, throwing a Rocket Mortgage billboard at Spider-Man to be rid of him."
"245" "Peter Parker" "Not cool!"
"246" "None" "Maw bends all the utility poles in the path of the fleeing Cloak, finally snagging the loyal garment and ripping it loose of its master. Spider-Man scoops up Doctor Strange before he hits the pavement, but before he can get away with the unconscious Doctor Strange, a cone of blue light starts pulling the mage inexorably upwards. Spider-Man grabs a light pole to anchor himself, but Maw uproots it, sending Doctor Strange, Cloak and teenager on their way to his ship."
"247" "Peter Parker" "Uhhh, Mr. Stark? I'm being beamed up!"
"248" "Tony Stark" "Hang on, kid."
"249" "Tony Stark" "Wong, you're invited to my wedding.  Give me a little juice, F.R.I.D.A.Y."
"250" "None" "Ebony Maw walks towards the controls of the ship, Doctor Strange's unconscious body floating face-down behind him, and prepares to leave Earth's atmosphere."
"251" "Tony Stark" "Unlock 17-A.  Pete, you gotta let go. I'm gonna catch you."
"252" "Peter Parker" "But you said save the wizard!  I can't breathe!"
"253" "Tony Stark" "You're too high up. You're running out of air."
"254" "Peter Parker" "Yeah! That makes sense."
"255" "None" "Peter passes out, free-falling, but not for long before the pod reaches him. It attaches itself to him, becoming the Iron Spider suit. Now being able to breathe, Spider-Man lands on a bottom part of the ship, standing up heroically."
"256" "Peter Parker" "Mr. Stark, it smells like a new car in here!"
"257" "Tony Stark" "Happy trails, kid. F.R.I.D.A.Y, send him home."
"258" "F.R.I.D.A.Y." "Yep."
"259" "None" "A large parachute extends from the new suit, snatching Spider-Man free of the ship's hull and him spiraling back to Earth."
"260" "Peter Parker" "OH, COME ON!"
"261" "None" "Iron Man latches onto the hull and cuts a hole to board the ship, looking for wherever Strange and Ebony Maw went."
"262" "F.R.I.D.A.Y." "Boss, incoming call from Miss Potts."
"263" "Pepper Potts" "Tony? Oh, my God. Are you all right? What's going on?"
"264" "Tony Stark" "Yeah, I'm fine. I just think we might have to push our 8:30 res."
"265" "Pepper Potts" "Why?"
"266" "Tony Stark" "Just 'cause I'll... probably not make it back for a while."
"267" "Pepper Potts" "Tell me you're not on that ship."
"268" "Tony Stark" "Yeah."
"269" "Pepper Potts" "God, no. Please tell me you're not on that ship."
"270" "Tony Stark" "Honey, I'm sorry. I'm sorry, I don't know what to say."
"271" "Pepper Potts" "Come back here, Tony. I swear to God…."
"272" "Tony Stark" "Pep…."
"273" "Pepper Potts" "Come back here right now! Come back!"
"274" "F.R.I.D.A.Y." "Boss, we're losing her. I'm going, too…."
"275" "None" "Spider-Man is revealed to have managed to shoot a web to the outside of the ship, foiling his parachute, and clambers inside a slowly-closing chamber."
"276" "Peter Parker" "Oh my God!  I should have stayed on the bus...."
"277" "None" "Ebony Maw, hands engaged in the ship's steering mechanism, accelerates into hyperspace."
"278" "None" "Meanwhile, back in New York"
"279" "None" "Bruce finds Tony's flip-phone in the debris on the street and picks it up thoughtfully. Wong opens up a portal back to the Sanctum."
"280" "Bruce Banner" "Where you going?"
"281" "Wong" "The Time Stone's been taken. The Sanctum remains unguarded. What will you do?"
"282" "Bruce Banner" "I'm gonna make a call."
"283" "None" "Wong nods in understanding and closes the portal, not to be seen again for the rest of the movie. Banner holds Steve Rogers' cell phone and makes a call."
"284" "None" "Screen title: SPACE"
"285" "None" "Camera pans around a brightly colored planet with ice rings to the Benatar. The Guardians of the Galaxy are travelling to investigate a distress call to the tune of Rubberband Man."
"286" "Peter Quill" "Sing it, Drax!"
"287" "None" "Drax is snoring with his mouth open from his seat in front of Quill. Gamora lip-syncs with the song along with Quill."
"288" "Rocket" "Why are we doing this again?"
"289" "Gamora" "It's a distress signal, Rocket. Someone could be dying."
"290" "Rocket" "I get that, but why are we doing it?"
"291" "Peter Quill" "'Cause we're nice. And maybe whoever it is will give us a little cheddar cheese  for our help."
"292" "Gamora" "Which isn't the point."
"293" "Peter Quill" "Which isn't the point... I mean… if he doesn't pony up…."
"294" "Drax" "We'll take his ship."
"295" "Rocket" "Exactly!"
"296" "Peter Quill" "B-b-b-bingo!"
"297" "None" "Gamora looks up at Quill in concern. Quill returns her look and grimaces a don't worry about it expression at her."
"298" "Mantis" "We are arriving."
"299" "Peter Quill" "All right, Guardians. Don't forget, this might be dangerous, so let's put on our mean faces.  Groot, put that thing away. Now. I don't wanna tell you again.  Groot."
"300" "Groot" "I am Groot!"
"301" "Peter Quill" "Whoa!"
"302" "Rocket" "Language!"
"303" "Gamora" "Hey!"
"304" "Drax" "Wow."
"305" "Peter Quill" "You got some acorns on you, kid."
"306" "Rocket" "Ever since you got a little sap, you're a total d-hole. Keep it up, and I'm gonna SMASH THAT THING TO PIECES!"
"307" "None" "Groot rolls his eyes."
"308" "None" "The Benatar decelerates, and Thanos' devastation suddenly covers the Guardians' field of view, revealing the distress signal to be the one from the Asgardian vessel at the beginning of the movie. Bodies are seen floating dead in space along with the pieces of the shredded ship."
"309" "Mantis" "What happened?"
"310" "Rocket" "Looks like we're not getting paid."
"311" "None" "With a thump, Thor's body is plastered to the hull of the ship."
"312" "Rocket" "Wipers! Wipers! Get it off!"
"313" "None" "Thor’s eye opens; all gasp."
"314" "None" "Cut to the Guardians settling the still-unconscious Thor onto an examination table."
"315" "Peter Quill" "How the hell is this dude still alive?"
"316" "Drax" "He is not a dude. You're a dude. This... this is a man. A handsome, muscular man."
"317" "Peter Quill" "I'm muscular."
"318" "Rocket" "Who are you kidding, Quill? You're one sandwich away from fat."
"319" "Peter Quill" "Yeah, right."
"320" "Drax" "It's true. You have gained a little weight…."
"321" "None" "Gamora leaves Quill's side at Thor's right, and circles around the foot of the table."
"322" "Peter Quill" "What? Gamora, do you think I'm…"
"323" "Mantis" "He is anxious. Angry. He feels tremendous loss and guilt."
"324" "Drax" "It's like a pirate had a baby with an angel."
"325" "Peter Quill" "Wow. This is a real wake-up call for me. Okay. I'm gonna get a Bow-flex. I'm gonna commit. I'm gonna get some dumbbells."
"326" "Rocket" "You know you can't eat dumbbells, right?"
"327" "Gamora" "It's like his muscles are made of Cotati metal fibers."
"328" "Peter Quill" "Stop massaging his muscles.  Wake him up."
"329" "Mantis" "Wake."
"330" "None" "Thor awakens, sitting up violently and throwing himself off the table to stumble a few steps away, then turning to see his hosts all pointing their weapons of choice at him; Groot is still playing his game."
"331" "Thor" "Who the hell are you guys?"
"332" "None" "Cut to later as the Guardians stand around Thor eating soup."
"333" "Gamora" "The entire time I knew Thanos, he only ever had one goal: To bring balance to the Universe by wiping out half of all life. He used to kill people planet by planet, massacre by massacre...."
"334" "Drax" "Including my own."
"335" "Gamora" "If he gets all six Infinity Stones, he can do it with the snap of his fingers, like this."
"336" "Thor" "You seem to know a great deal about Thanos."
"337" "Drax" "Gamora... is the daughter of Thanos."
"338" "Thor" "Your father killed my brother."
"339" "Peter Quill" "Oh, boy. Stepfather. Technically, she hates him as much as you do."
"340" "Thor" "Families can be tough.  Before my father died, he told me I had a half-sister... that he imprisoned in Hel. Then she returned home, and stabbed me in the eye, so... I had to kill her. It's life, isn't it, I guess. Goes round and round and... I feel your pain."
"341" "None" "Peter glares at Thor's hand on Gamora's shoulder, on the verge of full snarl, and moves around her to push between her and Thor."
"342" "Peter Quill" "And I feel your pain, as well. I mean it's not a competition, but I've been through a lot. My father killed my mother, then I had to kill my father. And that was hard. Probably even harder than having to kill a sister. Plus, I, came out of it with both of my eyes--"
"343" "Thor" "I need a hammer, not a spoon….  How do I open this thing? Is there some sort of a four-digit code maybe… maybe a birth date or something…."
"344" "Peter Quill" "What are you doing?"
"345" "Thor" "Taking your pod."
"346" "Peter Quill" "No, you're not!  You'll not, be taking our pod today, sir."
"347" "Rocket" "Quill. Are you making your voice deeper?"
"348" "Peter Quill" "No."
"349" "Drax" "You are. You're imitating the god-man. It's weird."
"350" "Peter Quill" "No I'm not."
"351" "Mantis" "He just did it again!"
"352" "Peter Quill" "This is my voice!"
"353" "Thor" "Are you mocking me?"
"354" "Peter Quill" "Are you mocking me?"
"355" "Thor" "Stop it. You did it again."
"356" "Peter Quill" "He's trying to copy me."
"357" "Thor" "Would you stop doing that? He's doing it first."
"358" "Gamora" "Enough! We need to stop Thanos. Which means we need to find out where he's going next."
"359" "Thor" "Knowhere."
"360" "Mantis" "He must be going somewhere."
"361" "Peter Quill" "No. Knowhere? It's a place. We've been there. It sucks. Excuse me, that's our food."
"362" "Thor" "Not anymore."
"363" "Gamora" "Thor… why would he go to Knowhere?"
"364" "Thor" "Because for years, the Reality Stone has been safely stored, there with a man we call the Collector."
"365" "Peter Quill" "If it's with the Collector, then it's not safe. Only an idiot would give that man a stone."
"366" "Thor" "Or a genius."
"367" "Gamora" "How do you know he's not going for one of the other Stones?"
"368" "Thor" "There's six stones out there.  Thanos already has the Power Stone because he stole it last week, when he decimated Xandar. He stole the Space Stone from me when he destroyed my ship and slaughtered half my people. The Time and Mind Stones are safe on Earth. They're with the Avengers."
"369" "Peter Quill" "The 'Avengers'?"
"370" "Thor" "Earth's Mightiest Heroes."
"371" "Mantis" "Like Kevin Bacon?"
